RK,Name
1,James HardenHOU
2,Bradley BealWSH
3,Damian LillardPOR
4,Trae YoungATL
5,Giannis AntetokounmpoMIL
6,Luka DoncicDAL
7,Russell WestbrookHOU
8,Kawhi LeonardLAC
9,Devin BookerPHX
10,Anthony DavisLAL
11,Zach LaVineCHI
12,LeBron JamesLAL
13,Donovan MitchellUTAH
14,Brandon IngramNO
15,Jayson TatumBOS
16,Pascal SiakamTOR
17,CJ McCollumPOR
18,DeMar DeRozanSA
19,Andrew WigginsGS/MIN
20,De'Aaron FoxSAC
21,Khris MiddletonMIL
22,Collin SextonCLE
23,Spencer DinwiddieBKN
24,Kemba WalkerBOS
25,Kristaps PorzingisDAL
26,Jaylen BrownBOS
27,Bojan BogdanovicUTAH
28,Jimmy ButlerMIA
29,Nikola JokicDEN
30,T.J. WarrenIND
31,Tobias HarrisPHI
32,Nikola VucevicORL
33,Julius RandleNY
34,Kyle LowryTOR
35,Buddy HieldSAC
36,Jrue HolidayNO
37,Shai Gilgeous-AlexanderOKC
38,Dennis SchroderOKC
39,LaMarcus AldridgeSA
40,Danilo GallinariOKC
41,Kelly Oubre Jr.PHX
42,Montrezl HarrellLAC
43,Evan FournierORL
43,Domantas SabonisIND
45,Jamal MurrayDEN
46,Lou WilliamsLAC
47,Devonte' GrahamCHA
48,Derrick RoseDET
49,Terry RozierCHA
50,Ja MorantMEM
